Stanice ID|Doména ID|Přístroj|Začátek měření|Konec měření|Výška přístroje [m]
B2BROD01|Fmax|Anemograf|1984-10-01|1985-01-31|10
B2BROD01|Fmax|Anemograf|1985-06-01|1985-06-30|10
B2BROD01|Fmax|Anemograf|1985-09-01|1985-11-30|10
B2BROD01|Fmax|Anemograf|1986-01-01|1986-01-31|10
B2BROD01|Fmax|Anemograf|1986-09-01|1987-07-31|10
B2BROD01|Fmax|Anemograf|1987-09-01|1988-08-31|10
B2BROD01|Fmax|Anemograf|1989-05-01|1992-10-31|10
B2BROD01|Fmax|Anemograf|1992-12-01|1995-10-31|10
B2BROD01|Fmax|Anemograf|1996-01-01|1996-06-08|10
B2BROD01|Fmax|Anemometr miskový|1999-06-09|2020-12-31|10
B2BTUR01|Fmax|Anemograf|1961-01-01|1998-03-02|10
B2BTUR01|Fmax|Anemometr miskový|1998-03-03|2017-12-18|10
B2BTUR01|Fmax|Ultrasonický snímač|2017-12-19|2020-12-31|10
B2BZAB01|Fmax|Anemometr miskový|1999-08-10|2020-12-31|15
B2DVES02|Fmax|Anemometr miskový|1998-10-01|2008-03-04|10
B2DYJA01|Fmax|Anemometr miskový|1999-06-08|2020-12-31|10
B2HAJE01|Fmax|Anemometr miskový|2011-02-01|2020-12-31|10
B2KOBY01|Fmax|Anemometr miskový|2008-11-27|2020-12-31|10
B2KUCH01|Fmax|Anemograf|1961-02-01|1961-06-30|10
B2KUCH01|Fmax|Anemograf|1961-08-01|1962-04-30|10
B2KUCH01|Fmax|Anemograf|1962-06-01|1962-06-30|10
B2KUCH01|Fmax|Anemograf|1962-08-01|1963-04-30|10
B2KUCH01|Fmax|Anemograf|1963-06-01|1998-12-31|10
B2KUCH01|Fmax|Anemometr miskový|1999-01-01|2010-05-04|10
B2KUCH01|Fmax|Anemometr miskový|2010-05-05|2016-04-30|10.8
B2KUCH01|Fmax|Ultrasonický snímač|2016-05-01|2020-12-31|10.8
B2LEDN01|Fmax|Anemometr miskový|2012-01-01|2020-12-31|10
B2NEMO01|Fmax|Anemometr miskový|2010-08-01|2020-12-31|10
B2POHO01|Fmax|Anemometr miskový|2012-01-01|2020-12-31|10
B2TROU01|Fmax|Anemometr miskový|2010-08-01|2020-12-31|10
B2VPAV01|Fmax|Anemometr miskový|1999-08-13|2008-11-26|10
L2DYLE01|Fmax|Anemometr miskový|2010-12-23|2020-12-31|10
L2KRAU01|Fmax|Anemometr miskový|2004-05-01|2020-12-31|10
L2MLAV01|Fmax|Anemometr miskový|2000-01-01|2020-12-31|10
L3AS0001|Fmax|Anemometr miskový|2012-03-15|2020-12-31|10
L3CHEB01|Fmax|Anemograf|1961-01-01|2000-12-31|10
L3CHEB01|Fmax|Anemometr miskový|2001-01-01|2010-02-28|10
L3CHEB01|Fmax|Anemometr miskový|2010-03-01|2018-03-25|10.15
L3CHEB01|Fmax|Ultrasonický snímač|2018-03-26|2020-12-31|10.15
L3KLIN01|Fmax|Ultrasonický snímač|2010-12-21|2020-12-31|8
L3KVAL01|Fmax|Anemograf|1961-11-01|1980-12-31|10
L3KVAL01|Fmax|Anemograf|1982-01-01|1996-12-31|10
L3KVAL01|Fmax|Anemometr miskový|2002-01-01|2010-02-28|6
L3KVAL01|Fmax|Anemometr miskový|2010-03-01|2016-12-31|9.55
L3KVAL01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|9.55
L3SIND01|Fmax|Anemometr miskový|2007-01-11|2020-12-31|10
L3SOKO01|Fmax|Anemometr miskový|2016-04-12|2020-12-31|10
H1CSKL01|Fmax|Anemometr miskový|2016-07-20|2020-12-31|10
H1LBOU01|Fmax|Ultrasonický snímač|2002-10-04|2010-06-30|5
H1LBOU01|Fmax|Ultrasonický snímač|2010-07-01|2020-12-31|7
H1LUCB01|Fmax|Anemometr miskový|2009-01-20|2016-12-31|6
H1LUCB01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|6
H1PECS01|Fmax|Anemoindikátor|1988-02-01|2003-12-31|10
H1PECS01|Fmax|Anemometr miskový|2004-01-01|2010-02-28|10
H1PECS01|Fmax|Anemometr miskový|2010-03-01|2020-12-31|11.8
H1TEPZ01|Fmax|Anemometr miskový|2018-09-13|2020-12-31|10
H1UPIC01|Fmax|Anemometr miskový|2001-03-28|2020-12-31|12
H1VELI01|Fmax|Anemometr miskový|2002-11-22|2020-12-31|10
H1VRCH01|Fmax|Ultrasonický snímač|2008-06-01|2019-04-11|13.5
H1VRCH01|Fmax|Ultrasonický snímač|2019-05-30|2020-12-31|13.5
H1ZACL01|Fmax|Anemometr miskový|2015-04-15|2020-12-31|10
H2BORH01|Fmax|Anemometr miskový|2018-09-12|2020-12-31|10
H2DEST01|Fmax|Anemometr miskový|2001-03-28|2018-08-15|10
H2DEST01|Fmax|Ultrasonický snímač|2018-08-15|2020-12-31|10
H2ROKY01|Fmax|Anemometr miskový|2002-10-17|2020-12-31|10
H2RYCH01|Fmax|Anemometr miskový|2002-11-22|2020-12-31|12
H3BROU01|Fmax|Anemometr miskový|2001-03-28|2020-12-31|10
H3HOLO01|Fmax|Anemometr miskový|2006-04-06|2020-12-31|10
H3HRAD01|Fmax|Anemograf|1961-01-01|1991-12-31|10
H3HRAD01|Fmax|Anemometr miskový|1999-01-01|2020-12-31|10
H3JICI01|Fmax|Anemometr miskový|2002-10-16|2020-12-31|10
H3LBEL01|Fmax|Anemometr miskový|2010-06-24|2020-12-31|10
H3NBYD01|Fmax|Anemometr miskový|2011-05-05|2020-12-31|10
H3SVOD01|Fmax|Anemometr miskový|2010-01-01|2020-12-31|17
P2CDUB01|Fmax|Anemometr miskový|2011-03-01|2020-12-31|10
P2DESN01|Fmax|Anemometr miskový|2004-10-22|2020-12-31|10
P2HARR01|Fmax|Ultrasonický snímač|2012-05-01|2020-12-31|10
P2HOLE01|Fmax|Anemometr miskový|2009-05-21|2020-12-31|10
P2KORE01|Fmax|Anemometr miskový|2009-10-01|2012-01-28|10
P2KORE01|Fmax|Ultrasonický snímač|2012-04-30|2020-12-31|10
P2TURN01|Fmax|Anemometr miskový|2014-01-11|2020-12-31|10
U2BEDR01|Fmax|Anemometr miskový|2004-12-01|2016-12-31|10
U2BEDR01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|10
U2CELI01|Fmax|Anemometr miskový|2011-04-14|2020-12-31|10
U2DOKY01|Fmax|Anemometr miskový|2002-12-20|2020-12-31|10
U2HEJN01|Fmax|Anemometr miskový|2012-10-24|2020-12-31|10
U2HRAD01|Fmax|Anemograf|1964-07-01|1965-09-30|10
U2HRAD01|Fmax|Anemograf|1965-11-01|1966-03-31|10
U2JAPO01|Fmax|Anemometr miskový|2011-08-01|2012-01-27|10
U2JAPO01|Fmax|Anemometr miskový|2012-01-31|2012-02-06|10
U2JAPO01|Fmax|Anemometr miskový|2012-02-15|2015-06-12|10
U2JAPO01|Fmax|Anemometr miskový|2015-06-15|2015-06-15|10
U2JAPO01|Fmax|Anemometr miskový|2015-06-19|2020-05-29|10
U2JAPO01|Fmax|Anemometr miskový|2020-06-10|2020-12-31|10
U2LIBC01|Fmax|Anemograf|1961-02-01|1961-02-28|10
U2LIBC01|Fmax|Anemograf|1961-05-01|1961-06-30|10
U2LIBC01|Fmax|Anemograf|1962-01-01|1962-04-30|10
U2LIBC01|Fmax|Anemograf|1962-06-01|1962-08-31|10
U2LIBC01|Fmax|Anemograf|1962-10-01|1963-12-31|10
U2LIBC01|Fmax|Anemograf|1964-02-01|1965-03-31|10
U2LIBC01|Fmax|Anemograf|1965-05-01|1967-08-31|10
U2LIBC01|Fmax|Anemograf|1969-06-01|1970-05-31|10
U2LIBC01|Fmax|Anemograf|1971-01-01|1971-06-30|10
